Lot #,id,Reg #,name,Birthday,ProS,ProS%,HB,HB%,GM,GM%,CED,CED%,BW,BW%,WW,WW%,YW,YW%,ADG,ADG%,DMI,DMI%,M,M%,ME,ME%,HPG,HPG%,CEM,CEM%,ST,ST%,MA,MA%,YG,YG%,CW,CW%,REA,REA%,FT,FT%,bw,bw_a,bw_r,ww,ww_a,ww_r,yw,yw_a,yw_r,adg,adg_r,wda,wda_r,scr_a,us_mb_a,us_mb_r,us_rea_a,us_rea_r,us_ft_a,us_ft_r,sirereg#,sire_name,geneticdam_reg#,geneticdam_Name,geneticdam_bdate,dmppa
60,5117,5174367,LOOSLI FLASHDRIVE 5117,03-06-2025,141,10,70,20,71,16,16,24,-1.7,52,77,16,123,17,0.29,22,1.44,97,33,4,15,94,15,6,8,35,18,16,0.83,5,0.09,74,30,22,0.46,5,0.06,99,88,88,103,635,719,108,1090,1177,110,2.86,113,2.86,113,32.94,4.24,110,14.11,118,0.31,120,4789398,BIEBER FLASHDRIVE L179,3819557,MISS LOOSLI BOURNE 726,02-02-2017,108
61,532,5174205,LOOSLI AGENT 532,01-29-2025,106,47,66,26,40,76,11,72,-2.3,41,66,49,109,41,0.27,34,0.98,77,29,17,14,92,14,14,9,19,17,24,0.5,37,0.12,86,11,85,-0.07,85,0.04,90,87,88,103,673,661,99,1050,1041,97,2.37,93,2.37,93,36.77,3.53,92,12.4,103,0.26,101,4428819,VGE AGENT 124,4281617,MISS LOOSLI FORTUNE 0113,03-12-2020,100
62,N5,5135011,LOOSLI JM ATOMIC N5,02-02-2025,70,91,50,55,20,96,17,14,-4,15,52,92,80,92,0.17,90,-0.19,1,28,30,3,43,10,78,11,2,14,69,0.24,91,0.1,76,0,98,-0.1,89,0.04,94,82,82,102,695,673,94,1005,995,96,2.01,101,2.01,101,37.4,3.17,100,13.7,106,0.25,112,3474996,BIEBER CL ATOMIC C218,4131774,MISS LOOSLI SAGA 989,03-03-2019,96
63,N4,5135023,LOOSLI JM PRIME N4,02-02-2025,156,4,90,4,66,22,16,18,-4.7,8,61,70,96,71,0.22,69,0.49,23,28,27,-2,23,13,22,8,37,20,6,0.66,16,0.05,49,19,63,0.3,22,0.04,93,68,75,93,680,729,102,1005,1069,103,2.11,106,2.11,106,34.4,2.7,85,14.52,112,0.3,135,4275705,LSF SRR PRIME PLUS 0111H,4799136,MEEK REDCAP ET 3L,02-10-2023,101
64,562,5174261,LOOSLI COLLUSION 562,02-05-2025,108,43,71,18,37,80,19,5,-3.6,19,71,32,109,43,0.23,58,0.83,64,24,65,3,47,10,72,9,12,18,16,0.49,39,0.09,72,14,78,-0.01,77,0.03,76,65,69,81,640,678,102,995,1037,97,2.23,88,2.23,88,35,3,78,11.59,97,0.26,101,4534673,C-BAR FORTUNE 263J,4598049,MISS LOOSLI TRIAD 207,01-24-2022,101
65,503,5174151,LOOSLI FLASHDRIVE 503,01-21-2025,138,12,56,43,83,6,16,18,-4.6,9,71,31,119,23,0.3,17,1.43,97,27,35,17,96,13,30,9,16,17,29,1.01,1,0,23,22,55,0.43,6,0.03,86,72,76,89,582,592,89,990,1004,94,2.57,101,2.57,101,34.51,6.22,162,13.05,109,0.22,88,4789398,BIEBER FLASHDRIVE L179,4598113,MISS LOOSLI STOCKMARKET 2104,02-24-2022,93
66,5139,5174411,LOOSLI COMPLETE 5139,03-17-2025,109,43,45,65,64,25,8,86,-2.4,39,66,50,112,36,0.29,22,0.71,52,25,54,9,77,11,51,4,93,16,30,0.47,42,0.08,66,26,36,-0.02,79,0,28,93,93,109,587,698,105,1015,1129,105,2.69,106,2.69,106,34.3,2.8,73,11.89,99,0.27,106,4543551,TKP COMPLETE 1595,3819791,MISS LOOSLI FRONT LINES 7152,04-10-2017,98
67,505,5174155,LOOSLI FLASHDRIVE 505,01-22-2025,102,53,20,94,82,6,7,93,1,92,80,10,133,8,0.33,7,1.52,98,32,5,24,99,13,29,5,83,13,73,0.71,12,0.01,27,40,6,0.59,2,0.03,80,96,96,112,684,647,97,1050,1015,95,2.3,91,2.3,91,33.55,4.53,118,11.68,97,0.29,116,4789398,BIEBER FLASHDRIVE L179,3997368,MISS LL PROFIT DRIVEN 895,03-08-2018,103
68,542,5174221,LOOSLI FOREMAN 542,01-31-2025,135,14,74,15,62,28,9,83,1.2,93,87,3,141,4,0.34,6,1.21,92,20,93,6,65,15,6,6,71,17,28,0.52,33,-0.07,5,27,31,0.38,10,-0.01,8,86,94,110,617,679,102,985,1051,98,2.31,91,2.31,91,35.84,5.54,144,11.76,98,0.23,89,3744501,5L FOREMAN 2174-370E,4838900,MISS LOOSLI COLLUSION 386,02-23-2023,101
69,564,5174265,LOOSLI FLASHDRIVE 564,02-06-2025,155,4,81,9,74,12,15,25,-1.9,49,74,24,121,20,0.3,18,1.37,96,28,23,17,96,11,71,9,11,21,2,0.89,3,0.25,99,32,18,0.09,58,0.07,99,88,88,103,706,706,106,1130,1133,106,2.67,105,2.67,105,36.03,6.92,180,10.11,84,0.3,117,4789398,BIEBER FLASHDRIVE L179,3907197,MISS LOOSLI FRONT LINES 837,01-30-2018,102
70,556,5174249,LOOSLI REALITY 556,02-03-2025,145,8,70,20,75,11,20,4,-4.1,14,81,9,135,7,0.34,6,0.91,72,27,32,8,74,12,34,9,16,17,19,0.88,3,0.2,98,21,57,-0.14,92,0.04,95,65,72,84,622,688,103,1080,1151,108,2.88,113,2.88,113,34.94,4.09,106,12.18,102,0.3,117,4793644,5L GENUINE 281-52L,4838868,MISS LOOSLI FOREMAN 370,02-17-2023,101
71,595,5174323,LOOSLI LOADED 595,02-18-2025,97,61,38,77,58,34,7,91,0.8,91,94,1,153,1,0.37,2,1.42,97,25,55,14,93,14,19,6,76,13,76,0.46,45,-0.09,4,29,26,0.49,4,-0.01,10,95,99,116,710,787,118,1080,1161,108,2.33,92,2.33,92,33.42,3.07,80,13.12,109,0.21,83,4838552,LOOSLI LOADED 372,4598261,MISS LOOSLI STOCKMARKET 231,01-30-2022,99
72,5101,5174335,LOOSLI LOADED 5101,02-23-2025,118,30,66,26,52,46,15,26,-2.7,34,73,27,114,33,0.26,43,1.29,94,27,33,13,91,13,23,9,14,17,26,0.63,19,0.16,93,27,31,0.02,71,0.03,88,78,79,93,555,614,92,930,992,93,2.36,93,2.36,93,33.08,4.13,107,11.2,93,0.25,100,4838552,LOOSLI LOADED 372,4504805,MISS LOOSLI STILLWATER 1331,01-25-2021,104
73,588,5174311,LOOSLI COMPLETE 588 T,02-13-2025,112,39,43,69,69,18,10,73,-0.7,73,72,30,120,22,0.3,16,0.79,60,32,4,7,69,14,15,5,79,13,73,0.64,18,0.13,87,24,47,-0.16,94,0.01,37,64,64,,597,615,,1055,1076,,2.88,,2.88,,36.26,3.45,,12.31,,0.37,,4543551,TKP COMPLETE 1595,4131602,MISS LOOSLI BOURNE-702 905,01-14-2019,104
74,581,5174299,LOOSLI COLLUSION 581,02-11-2025,127,21,79,10,48,59,17,13,-1.7,52,70,36,111,38,0.26,43,0.79,61,28,28,6,65,10,77,9,15,20,6,0.43,51,0.07,61,22,52,-0.1,89,-0.01,9,80,80,94,665,681,102,1000,1019,95,2.11,83,2.11,83,34.69,2.52,66,11.35,95,0.19,75,4534673,C-BAR FORTUNE 263J,3820039,MISS LOOSLI FRONTIER 758,02-21-2017,105
75,5135,5174403,LOOSLI SUPREMACY 5135,03-14-2025,87,75,45,64,42,72,12,56,-1.7,52,78,13,117,27,0.24,52,0.86,67,23,75,9,78,13,22,5,86,15,53,0.5,37,0.18,96,26,35,-0.14,92,0.03,76,97,98,115,624,738,111,1060,1177,110,2.74,108,2.74,108,37.2,4.54,118,11.78,98,0.24,94,4527725,5L SUPREMACY 459-76J,4281783,MISS LOOSLI TRIAD 0146,03-29-2020,99
76,598,5174329,LOOSLI COMPLETE 598,02-19-2025,141,10,78,11,62,28,15,32,-1.6,54,73,25,122,20,0.3,16,0.78,60,32,5,4,54,15,6,6,65,18,14,0.72,11,0.21,98,17,70,-0.12,91,0.06,99,87,87,102,618,653,98,1035,1073,100,2.62,103,2.62,103,35.95,3.51,91,13.33,111,0.3,119,4543551,TKP COMPLETE 1595,4131640,MISS LOOSLI ULTIMATUM 925,01-20-2019,99
77,597,5174327,LOOSLI COMPLETE 597,02-19-2025,128,20,52,51,76,10,8,87,0.1,84,85,5,145,3,0.38,2,1.01,80,30,14,10,83,14,16,5,84,15,50,0.49,39,0.09,73,38,8,0.09,58,0,26,83,87,102,597,670,101,1035,1113,104,2.75,108,2.75,108,34.95,2.89,75,11.28,94,0.21,83,4543551,TKP COMPLETE 1595,4598145,MISS LOOSLI STOCKMARKET 272,02-12-2022,101
78,5136,5174405,LOOSLI COLLUSION 5136,03-14-2025,130,18,64,28,66,22,12,58,-1.5,56,71,33,111,38,0.25,45,0.98,77,23,77,5,56,11,61,6,67,17,19,0.67,15,0.02,31,26,35,0.14,47,0,14,92,93,109,573,677,102,965,1072,100,2.47,97,2.47,97,36.2,3.52,91,11.34,95,0.22,86,4534673,C-BAR FORTUNE 263J,4281625,MISS LOOSLI TRIAD 0117,03-14-2020,97
79,5146,5174425,LOOSLI FLASHDRIVE 5146,03-20-2025,148,7,73,16,75,11,15,28,-3.2,26,66,50,109,42,0.27,34,1.25,93,32,5,13,91,15,6,9,20,18,15,0.77,8,0.08,65,30,23,0.3,22,0.03,88,80,80,94,564,681,102,1000,1120,105,2.74,108,2.74,108,32.89,4.36,113,12.65,105,0.31,122,4789398,BIEBER FLASHDRIVE L179,3906873,MISS LOOSLI BOURNE 839,01-31-2018,105
80,594,5174321,LOOSLI COLLUSION 594,02-18-2025,107,46,58,40,49,56,9,80,0.3,86,75,22,119,24,0.28,29,0.8,61,25,56,4,49,12,45,7,47,15,53,0.4,56,0.1,77,27,31,-0.21,96,-0.02,4,87,87,102,625,664,100,955,997,93,2.08,82,2.08,82,38.42,3.71,96,9.82,82,0.21,83,4534673,C-BAR FORTUNE 263J,4281325,MISS LOOSLI BOURNE 044,02-03-2020,101
81,5131,5174395,LOOSLI AGENT 5131,03-11-2025,135,14,61,34,74,12,11,69,-1.1,64,75,21,126,14,0.32,10,0.69,50,25,57,9,78,11,52,7,44,16,30,0.6,23,0.23,99,33,16,-0.06,84,0.04,95,92,92,108,605,705,106,1050,1153,108,2.8,110,2.8,110,36.1,3.43,89,11.72,98,0.15,58,4598507,LOOSLI STOCKMARKET 250,4281497,MISS LOOSLI STILLWATER 078,02-19-2020,114
82,N8,5135009,LOOSLI JM ATOMIC N8,02-09-2025,100,55,41,72,59,33,7,92,1.3,94,78,14,128,12,0.31,13,1.06,84,28,31,5,59,8,96,6,69,14,59,0.53,32,0.13,86,28,27,0.04,67,0.02,72,100,100,124,750,744,104,1075,1082,104,2.11,106,2.11,106,36.13,2.95,93,11.79,91,0.18,81,3474996,BIEBER CL ATOMIC C218,3907217,MISS LOOSLI TREMENDOUS 813,01-22-2018,101
83,5119,5174371,LOOSLI ADVANTAGE 5119,03-07-2025,135,14,99,2,36,82,15,26,-4.6,9,77,15,107,47,0.18,86,0.92,73,29,17,6,64,13,20,9,19,21,2,0.4,56,0.14,90,37,10,0.03,69,0.01,52,78,80,94,580,678,102,925,1026,96,2.17,85,2.17,85,36.97,3.12,81,11.23,94,0.19,74,4766803,VGW ADVANTAGE 343,4516869,MISS LOOSLI PORTER 1109,02-21-2021,99
84,548,5174233,LOOSLI COLLUSION 548,02-01-2025,132,16,87,5,46,64,21,2,-4.7,8,56,84,91,80,0.22,70,0.75,56,26,50,4,48,10,75,11,1,20,3,0.67,15,0.07,61,3,96,-0.2,96,0.01,47,79,79,93,630,619,93,975,966,90,2.17,85,2.17,85,35.87,2.46,64,13.62,114,0.18,70,4534673,C-BAR FORTUNE 263J,4131690,MISS LOOSLI TRIAD 949,02-02-2019,99
85,520,5174181,LOOSLI FLASHDRIVE 520,01-26-2025,130,18,56,42,74,13,13,50,-2.3,41,76,19,122,20,0.29,22,1.48,98,32,6,21,99,13,23,7,58,18,14,0.76,8,0.15,92,39,7,0.35,12,0.05,99,75,83,97,612,662,99,960,1014,95,2.19,86,2.19,86,33.68,4.21,109,12.77,106,0.23,89,4789398,BIEBER FLASHDRIVE L179,4838662,MISS LOOSLI ULTIMATUM 3111,03-09-2023,100
86,593,5174319,LOOSLI COLLUSION 593,02-16-2025,119,28,74,15,45,65,15,25,-2,47,67,48,105,50,0.24,53,0.65,45,24,72,3,43,11,52,7,47,19,10,0.45,47,0.16,94,21,58,-0.15,93,0.02,74,85,85,100,582,607,91,965,993,93,2.41,95,2.41,95,35.36,3.52,92,11.72,98,0.32,126,4534673,C-BAR FORTUNE 263J,4131778,MISS LOOSLI SILVER 991,03-03-2019,100
87,5167,5174467,LOOSLI MISSION 5167,03-27-2025,131,17,75,14,56,38,11,65,-1,66,75,20,117,26,0.26,37,0.98,77,28,26,4,52,14,14,7,55,17,23,0.6,23,0.07,63,24,47,0.18,39,0.03,79,92,92,108,606,760,114,990,1147,107,2.42,95,2.42,95,36.12,3.93,102,13.91,116,0.31,123,4298175,5L ON A MISSION 1307-33H,3819847,MISS LOOSLI RED LABEL 7103,03-17-2017,103
88,5158,5174449,LOOSLI DELEGATE 5158,03-24-2025,102,52,74,16,29,91,20,3,-3.6,19,71,33,110,41,0.24,51,0.81,62,31,7,7,66,12,44,9,18,19,9,0.43,51,0.11,81,9,89,-0.13,92,0.03,79,82,82,96,619,767,115,985,1135,106,2.3,91,2.3,91,37.52,3.27,85,12.55,105,0.27,107,4504701,LOOSLI DELEGATE 102,4150414,MS LOOSLI TREMEND-7112 9153,04-01-2019,109
89,5137,5174407,LOOSLI COLLUSION 5137,03-15-2025,118,30,75,14,42,71,19,6,-2.9,30,68,43,108,44,0.25,46,1.1,86,27,41,5,56,10,87,8,25,20,4,0.56,27,0.15,93,17,71,-0.18,95,0.03,76,83,83,97,586,691,104,965,1072,100,2.38,94,2.38,94,34.23,3.41,89,11.44,95,0.24,94,4534673,C-BAR FORTUNE 263J,4131608,MISS LOOSLI FRONTIER 910,01-16-2019,105
90,5105,5174343,LOOSLI COMPLETE 5105,02-24-2025,127,21,45,65,82,6,9,83,-1.2,62,83,6,140,4,0.36,3,0.76,57,31,7,8,76,14,15,5,87,14,69,0.67,15,0.16,93,33,16,0.21,33,0.05,97,96,96,112,659,710,107,1085,1139,106,2.68,106,2.68,106,35.62,4.78,124,12.27,102,0.26,104,4543551,TKP COMPLETE 1595,3906899,MISS LOOSLI BOURNE 827,01-27-2018,104
91,5114,5174361,LOOSLI LEAD 5114,03-04-2025,134,15,84,7,50,53,9,83,0.7,90,89,2,152,1,0.39,1,1.18,90,27,39,12,88,14,18,6,73,20,4,0.19,95,0.08,68,39,7,0.24,29,0.01,50,93,101,118,592,740,111,1090,1243,116,3.13,123,3.13,123,34.87,4.03,105,12.27,102,0.2,77,4838476,LOOSLI LEAD OFF 333,4838706,MISS LOOSLI PROFITEER 3131,03-22-2023,104
92,582,5174301,LOOSLI SHADE 582,02-11-2025,45,99,-4,99,50,54,6,96,1.5,95,90,2,148,2,0.37,2,1.2,91,24,64,8,74,10,77,3,96,8,99,0.39,63,0.09,74,28,29,0.15,45,0.03,76,96,100,117,622,675,101,985,1042,97,2.28,90,2.28,90,32.19,4.65,121,12.2,102,0.23,90,4838240,LOOSLI PROFITEER 302,4598119,MISS LOOSLI SPARTACUS 259,02-06-2022,99
93,5120,5174373,LOOSLI COMPLETE 5120,03-07-2025,105,48,53,49,52,47,20,3,-6.8,1,64,61,107,47,0.27,34,0.81,62,27,36,6,65,13,33,10,6,15,55,0.61,21,0.16,94,12,82,-0.12,91,0.04,94,70,70,82,545,619,93,955,1032,96,2.58,102,2.58,102,35.97,3.23,84,11.89,99,0.27,105,4543551,TKP COMPLETE 1595,4131688,MISS LOOSLI TRIAD 948,01-31-2019,95
94,584,5174305,LOOSLI ADVANTAGE 584,02-11-2025,70,91,31,86,39,77,12,61,-2.2,43,74,23,112,36,0.24,56,0.95,76,30,14,4,51,14,12,7,44,9,95,0.35,75,0.19,97,35,13,-0.11,90,0.02,64,86,87,102,620,648,97,990,1023,96,2.33,92,2.33,92,35.19,3.59,93,9.88,82,0.28,110,4766803,VGW ADVANTAGE 343,3472264,MISS LOOSLI DESTINY 516,01-28-2015,96
95,5106,5174345,LOOSLI COMPLETE 5106,02-24-2025,141,10,80,10,61,29,15,24,-1.1,64,75,20,126,14,0.32,10,1.12,87,32,7,13,91,13,20,8,27,20,5,0.5,37,0.16,94,32,19,0.07,61,0.04,90,80,80,94,611,659,99,1045,1096,102,2.73,108,2.73,108,35.62,4.38,114,11.66,97,0.32,127,4543551,TKP COMPLETE 1595,3907367,MISS LOOSLI FRONTIER 8122,03-18-2018,104
96,5129,5174391,LOOSLI MISSION 5129,03-11-2025,119,29,66,25,53,45,9,82,-0.8,70,68,41,105,51,0.23,61,1.11,87,31,8,5,59,14,13,6,62,16,32,0.59,23,-0.01,22,22,53,0.44,6,0.03,83,90,90,105,590,681,102,935,1029,96,2.17,85,2.17,85,32.1,3.07,80,12.94,108,0.24,94,4298175,5L ON A MISSION 1307-33H,3820165,MISS LOOSLI REAL DEAL 7173,05-02-2017,106
97,5144,5174421,LOOSLI LEAD 5144,03-18-2025,138,12,70,19,67,20,14,35,-2.1,44,83,6,137,5,0.34,6,1.02,81,29,19,7,67,15,6,8,22,15,46,0.47,42,0.21,98,43,4,0.07,61,0.04,91,70,77,90,591,783,118,965,1161,108,2.35,92,2.35,92,35.33,3.48,90,12.03,100,0.24,94,4838476,LOOSLI LEAD OFF 333,4838764,MISS LOOSLI MISSION 318,01-26-2023,107
98,5133,5174399,LOOSLI DELEGATE 5133,03-13-2025,56,97,27,90,29,91,12,61,-2,47,77,16,120,22,0.27,33,0.51,25,30,14,2,38,8,96,6,73,11,86,0.26,89,0,25,12,84,0,75,0,11,88,88,103,657,769,116,1065,1180,110,2.57,101,2.57,101,37.17,2.72,71,11.95,100,0.19,74,4504701,LOOSLI DELEGATE 102,4131832,MS LOOSLI MERLIN 9118,03-11-2019,111
99,5155,5174443,LOOSLI COLLUSION 5155,03-24-2025,124,23,56,42,68,19,10,77,-0.3,79,79,11,132,9,0.33,8,0.96,76,26,47,4,51,11,53,6,66,15,49,0.52,33,-0.02,18,27,30,0.19,37,-0.01,4,92,93,109,593,748,112,975,1133,106,2.4,94,2.4,94,36.52,3.83,99,11.83,99,0.19,75,4534673,C-BAR FORTUNE 263J,4516983,MISS LOOSLI TRIAD 101,01-15-2021,104
100,5179,5174491,LOOSLI COMPLETE 5179,04-07-2025,109,43,41,72,68,19,12,60,-1.1,64,75,20,123,18,0.3,18,0.86,67,29,16,11,86,12,40,7,55,14,70,0.5,37,0.14,89,37,9,0.19,37,0.03,86,95,96,112,565,769,116,955,1163,109,2.45,96,2.45,96,37.98,2.93,76,12.39,103,0.3,116,4543551,TKP COMPLETE 1595,4516821,MISS LOOSLI FRONT ROW 1112,02-24-2021,102
101,5145,5174423,LOOSLI ADVANTAGE 5145,03-19-2025,104,49,64,29,41,75,15,28,-4.3,12,76,19,111,37,0.22,65,1.07,85,33,4,7,71,13,29,7,49,17,28,0.59,23,0.13,88,22,54,-0.16,94,0.01,47,88,89,104,588,724,109,920,1059,99,2.09,82,2.09,82,34.36,4.49,117,11.94,100,0.24,94,4766803,VGW ADVANTAGE 343,4517033,MISS LOOSLI TRIAD 107,01-18-2021,102
102,5142,5174417,LOOSLI DELEGATE 5142,03-18-2025,87,75,57,41,30,89,16,24,-2.1,44,72,29,111,38,0.24,50,0.66,47,24,62,4,52,8,96,7,44,17,26,0.36,74,-0.05,8,7,92,0.16,42,0,33,88,88,103,609,728,109,1005,1127,105,2.49,98,2.49,98,35.33,3,78,13.71,114,0.2,79,4504701,LOOSLI DELEGATE 102,3907371,MISS LOOSLI FRONT LINES 865,02-17-2018,102
103,5116,5174365,LOOSLI COMPLETE 5116,03-06-2025,131,17,77,12,54,44,11,67,-1.9,49,77,17,125,16,0.3,17,0.71,52,29,20,10,81,15,8,6,74,19,9,0.31,82,0.09,73,34,14,0.08,59,0.01,37,80,83,97,574,686,103,900,1016,95,2.05,81,2.05,81,31.94,2.7,70,10.46,87,0.22,85,4543551,TKP COMPLETE 1595,4597977,MISS LOOSLI ULTIMATUM 225,01-28-2022,102
104,579,5174295,LOOSLI ADVANTAGE 579,02-10-2025,92,67,18,95,75,12,11,70,-3.3,24,75,21,112,36,0.23,59,1.27,94,27,33,5,60,14,14,7,44,7,99,0.88,3,0.05,49,34,13,0.16,42,0,19,85,85,100,612,629,95,910,929,87,1.87,73,1.87,73,35.16,4.5,117,11.26,94,0.18,71,4766803,VGW ADVANTAGE 343,4281289,MISS LOOSLI TRIAD 026,01-25-2020,93
105,574,5174285,LOOSLI LEAD 574,02-09-2025,127,20,97,2,30,89,16,20,-2.2,43,74,24,125,16,0.32,10,0.68,49,23,76,6,62,14,18,8,22,21,2,0.22,93,0.15,92,15,75,-0.14,92,0.03,85,82,82,96,583,592,89,1035,1047,98,2.84,112,2.84,112,35.13,3.72,97,11.99,100,0.32,125,4838476,LOOSLI LEAD OFF 333,3819601,MISS LOOSLI BROOK 796,03-14-2017,95
106,5188,5174509,LOOSLI HARD DRIVE 5188,04-26-2025,149,6,80,9,68,19,13,46,-3.1,26,74,22,120,22,0.28,25,0.92,72,32,6,8,75,13,21,7,56,19,6,0.54,30,0.01,28,32,18,0.46,5,0.02,74,95,98,115,491,761,114,910,1184,111,2.64,104,2.64,104,35.59,2.83,73,14.57,121,0.23,91,4704229,PIE HARD DRIVE 2052,4598563,MISS LOOSLI TRIAD 203,01-17-2022,101
107,547,5174231,LOOSLI FLASHDRIVE 547,02-01-2025,140,11,73,17,67,20,17,16,-3.5,21,71,33,116,29,0.28,27,1.22,92,28,23,18,98,10,78,9,11,21,3,0.84,4,-0.07,5,12,84,0.27,25,0,28,82,84,98,574,583,88,980,993,93,2.55,100,2.55,100,31.87,4.02,104,12.69,106,0.21,81,4789398,BIEBER FLASHDRIVE L179,4516955,MISS LOOSLI SPARTACUS 123,01-22-2021,98
108,5121,5174375,LOOSLI MISSION 5121,03-08-2025,115,35,65,27,50,53,11,66,-2.1,44,68,44,109,42,0.26,41,0.94,74,27,32,2,39,14,11,8,39,15,53,0.42,52,0.04,42,25,39,0.34,13,0.03,86,83,83,97,552,628,94,985,1064,99,2.72,107,2.72,107,33,2.96,77,12.77,106,0.26,101,4298175,5L ON A MISSION 1307-33H,4131740,MISS LOOSLI SILVER 972,02-21-2019,98
109,590,5174315,LOOSLI COLLUSION 590 T,02-16-2025,65,94,36,80,30,90,12,58,-1.5,56,64,61,102,58,0.24,56,0.86,67,22,87,4,49,13,22,7,55,11,86,0.39,63,0.02,32,7,92,-0.14,92,-0.01,8,75,75,,614,640,,990,1018,,2.36,,2.36,,34.86,2.62,,11.47,,0.19,,4534673,C-BAR FORTUNE 263J,3845661,MISS LOOSLI BOURNE 754,02-17-2017,93
110,572,5174281,LOOSLI LEAD 572,02-09-2025,107,45,81,8,26,93,14,38,-3.7,18,63,63,101,59,0.24,57,0.98,77,23,74,5,59,15,6,7,49,19,9,0.32,80,0.05,49,12,84,-0.02,79,0.01,47,75,83,97,500,583,88,865,952,89,2.3,91,2.3,91,34.63,2.7,70,10.34,86,0.19,74,4838476,LOOSLI LEAD OFF 333,4838922,MISS LOOSLI MISSION 397,02-28-2023,95
111,5109,5174351,LOOSLI PERSEVERANCE 5109,02-26-2025,79,84,46,62,33,86,21,2,-5.7,3,61,71,93,76,0.2,79,0.66,46,30,12,4,48,11,52,11,2,13,74,0.51,35,0.17,95,10,88,-0.44,99,0.01,41,63,64,75,558,623,94,940,1010,94,2.4,94,2.4,94,33.68,3.84,100,10.11,84,0.21,84,4281185,LOOSLI PERSEVERANCE 019,1716953,MISS LOOSLI MOUNTAIN 403,01-19-2014,94
112,596,5174325,LOOSLI COLLUSION 596,02-18-2025,95,63,51,53,44,68,14,35,-2.4,39,66,49,107,46,0.26,43,0.95,75,21,92,2,41,11,57,7,51,15,55,0.59,23,0.01,30,6,93,-0.15,93,-0.01,7,81,81,95,585,621,93,895,933,87,1.95,77,1.95,77,33.92,3.62,94,10.9,91,0.18,72,4534673,C-BAR FORTUNE 263J,4281283,MISS LOOSLI PROFIT 023,01-24-2020,92
113,5141,5174415,LOOSLI LEAD 5141,03-18-2025,141,10,84,7,57,38,8,87,1.4,94,95,1,153,1,0.36,3,1.08,85,25,53,11,87,15,9,7,41,18,11,0.33,79,0.14,91,45,3,0.18,39,0.02,68,92,99,116,550,733,110,930,1117,104,2.39,94,2.39,94,34.83,4.23,110,11.2,93,0.17,67,4838476,LOOSLI LEAD OFF 333,4838674,MISS LOOSLI X-PORTER 3118,03-14-2023,104
114,5153,5174439,LOOSLI MISSION 5153,03-22-2025,95,64,47,61,48,58,8,87,0,83,66,52,95,74,0.18,88,1.08,85,29,18,7,66,13,27,7,60,14,63,0.67,15,0.08,69,23,51,0.18,39,0.03,87,87,89,104,514,644,97,875,1008,94,2.27,89,2.27,89,33.46,4.3,112,12.6,105,0.27,107,4298175,5L ON A MISSION 1307-33H,4516925,MISS LOOSLI STILLWATER 1160,03-24-2021,98
115,5166,5174465,LOOSLI FLASHDRIVE 5166,03-27-2025,102,52,51,53,52,48,17,12,-1.8,50,81,9,128,13,0.29,21,1.38,96,32,4,21,99,13,20,9,19,16,36,0.75,9,0.19,97,21,57,-0.06,84,0.05,96,83,84,98,567,730,110,905,1071,100,2.13,84,2.13,84,29.62,3.36,87,12.45,104,0.24,95,4789398,BIEBER FLASHDRIVE L179,4516847,MISS LOOSLI PORTER 1132,03-04-2021,111
116,N13,5135015,LOOSLI JM IGNITE N13,03-05-2025,56,97,24,92,32,87,23,1,-7,1,55,87,87,85,0.2,81,0.27,9,27,37,13,90,11,69,10,8,13,72,0.36,74,-0.14,2,-3,99,0.43,6,0.02,64,71,71,88,640,706,98,835,909,88,1.27,63,1.27,63,33.91,2.79,88,13.04,101,0.13,57,4633943,MEEK IGNITE K3,4140816,MEEK REDCAP 902G,03-12-2019,98
117,5182,5174497,LOOSLI HARD DRIVE 5182,04-15-2025,107,45,54,46,52,46,12,55,-1.7,52,82,8,134,7,0.33,8,1.03,82,32,7,10,82,14,16,7,47,14,57,0.22,93,-0.03,17,39,7,0.54,3,0.01,41,85,88,103,562,826,124,950,1218,114,2.44,96,2.44,96,34.74,3.52,91,13.44,112,0.25,98,4704229,PIE HARD DRIVE 2052,4598611,MISS LOOSLI TRIAD 283,02-16-2022,114
118,5138,5174409,LOOSLI SUPREMACY 5138,03-16-2025,104,50,69,21,35,84,13,44,-2.4,39,67,45,100,61,0.2,77,0.86,67,25,52,8,71,13,19,6,73,18,12,0.6,23,0.09,72,8,91,-0.14,92,0.02,64,92,92,108,514,604,91,935,1028,96,2.65,104,2.65,104,35.76,4.83,126,11.8,98,0.27,106,4527725,5L SUPREMACY 459-76J,4131790,MISS LOOSLI TREMENDOUS 997,03-05-2019,103
119,5157,5174447,LOOSLI COLLUSION 5157,03-24-2025,87,75,75,14,12,99,13,47,-2.4,39,56,86,82,91,0.16,93,0.89,70,25,54,5,58,10,77,8,24,19,7,0.29,85,0.03,40,7,92,-0.17,94,-0.01,10,87,88,103,513,636,96,850,977,91,2.12,83,2.12,83,33.02,3.01,78,10.75,90,0.2,79,4534673,C-BAR FORTUNE 263J,3571502,MISS LOOSLI FRONTIER 617,01-28-2016,102
